gene_id	WT1	WT2	WT3	Mutant1	Mutant2	Mutant3
CDIFF6300_002890	0	7	5	5	1	0
CDIFF6300_002900	655	1471	2567	2566	1968	715
CDIFF6300_002910	70	150	248	170	128	77
CDIFF6300_002920	69	141	233	133	130	77
CDIFF6300_002930	117	207	363	457	328	210
CDIFF6300_002940	160	398	601	1315	1066	573
CDIFF6300_002950	313	535	1054	1094	956	592
CDIFF6300_002960	15	43	76	97	82	30
CDIFF6300_002970	23	34	72	84	55	18
CDIFF6300_002980	32	87	149	254	199	98
CDIFF6300_002990	45	132	185	475	319	161
CDIFF6300_003000	67	116	247	358	325	553
CDIFF6300_003010	41869	67918	137398	93953	65157	66499
CDIFF6300_003020	72	153	260	316	227	227
CDIFF6300_003030	252	477	809	786	499	421
CDIFF6300_003040	7467	13522	21278	16550	12985	6965
CDIFF6300_003050	121	192	406	234	143	83
CDIFF6300_003060	297	564	812	838	654	264
CDIFF6300_003070	0	0	1	4	0	0
CDIFF6300_003080	0	4	5	11	2	2
CDIFF6300_003090	12	35	72	81	44	29
CDIFF6300_003100	27	53	74	65	51	31
CDIFF6300_003110	17	50	123	161	124	50
CDIFF6300_003120	13	29	46	29	30	20
CDIFF6300_003130	7	17	41	25	14	15
CDIFF6300_003140	103	191	367	291	168	104
CDIFF6300_003150	11	34	61	52	32	28
CDIFF6300_003160	280	465	690	362	269	214
CDIFF6300_003170	2	2	16	18	11	8
CDIFF6300_003180	18	46	73	108	88	24
CDIFF6300_003190	192	572	836	980	662	276
CDIFF6300_003200	15	11	54	14	24	4
CDIFF6300_003210	1	6	16	4	4	5
CDIFF6300_003220	5	16	30	64	46	30
CDIFF6300_003230	73	96	284	379	320	160
CDIFF6300_003240	11	10	24	30	25	12
CDIFF6300_003250	187	368	530	422	288	179
CDIFF6300_003260	377	584	1064	499	326	234
CDIFF6300_003270	1112	1915	3024	1408	1102	913
CDIFF6300_003280	884	1550	2511	1474	1054	966
CDIFF6300_003290	396	629	1090	644	405	372
CDIFF6300_003300	1318	2159	3495	1683	1160	1048
CDIFF6300_003310	1421	2350	3762	2061	1457	1424
CDIFF6300_003320	9494	15018	24045	12878	9506	8588
CDIFF6300_003330	251	466	876	858	781	576
CDIFF6300_003340	183	401	699	801	670	525
CDIFF6300_003350	86	221	420	489	336	296
CDIFF6300_003360	516	704	994	972	944	735
CDIFF6300_003370	360	721	1120	955	800	712
CDIFF6300_003380	1745	3412	5616	4719	4132	3160
CDIFF6300_003390	1304	2990	4800	4868	3848	2841
CDIFF6300_003400	282	780	1173	1203	739	601
CDIFF6300_003410	79	190	267	319	227	163
CDIFF6300_003420	225	536	752	999	654	494
CDIFF6300_003430	153	438	667	783	587	350
CDIFF6300_003440	7480	13635	21132	15202	11139	7660
CDIFF6300_003450	1133	2109	2848	2107	1428	1175
CDIFF6300_003460	54809	98945	179388	128862	102045	55008
CDIFF6300_003470	120	414	599	1009	626	240
CDIFF6300_003480	15	82	119	239	152	92
CDIFF6300_003490	60	180	305	578	458	138
CDIFF6300_003500	63	248	360	675	525	176
CDIFF6300_003510	84	355	640	1238	709	196
CDIFF6300_003520	16	39	85	142	120	42
CDIFF6300_003530	38	78	221	288	263	105
CDIFF6300_003540	14	49	110	154	163	50
CDIFF6300_003550	84	280	484	1012	842	377
CDIFF6300_003560	123	286	515	767	678	352
CDIFF6300_003570	30	150	172	345	237	165
CDIFF6300_003580	213	406	857	1199	1168	561
CDIFF6300_003590	12	25	30	62	55	48
CDIFF6300_003600	35	96	170	308	247	151
CDIFF6300_003610	140	373	570	820	622	285
CDIFF6300_003620	936	1671	3027	2947	2303	1122
CDIFF6300_003630	18	54	84	140	112	89
CDIFF6300_003640	115	263	488	850	668	473
CDIFF6300_003650	76	174	331	593	477	368
CDIFF6300_003660	23	55	114	194	175	100
CDIFF6300_003670	2	16	35	59	43	23
CDIFF6300_003680	20	83	134	318	271	142
CDIFF6300_003690	10	21	62	107	80	42
CDIFF6300_003700	29	75	192	398	362	182
CDIFF6300_003710	116	239	449	710	606	322
CDIFF6300_003720	51	155	257	431	290	166
CDIFF6300_003730	32	121	226	386	313	186
CDIFF6300_003740	20	70	107	203	165	103
CDIFF6300_003750	4	16	32	85	69	52
CDIFF6300_003760	4	12	20	31	35	19
CDIFF6300_003770	222	488	864	793	665	283
CDIFF6300_003780	215	521	835	819	707	427
CDIFF6300_003790	152	392	629	728	542	394
CDIFF6300_003800	43	130	239	350	271	183
CDIFF6300_003810	33	135	271	464	314	205
CDIFF6300_003820	4709	8747	18320	15596	10570	6947
CDIFF6300_003830	0	0	3	5	0	0
CDIFF6300_003840	345	592	1278	1010	774	586
